"Table 1: The number of deaths registered was above the five-year average in all English regions and Wales, except the South West"
"Number of deaths in Wales and regions in England, registered week ending 23 October 2020"

Region name,"Number 
of 
deaths","Five-year 
average",Difference,"Percentage
above 
average"
North West," 1,714 "," 1,326 ",388,29.3
Yorkshire and the Humber," 1,111 "," 945 ",166,17.6
North East," 600 "," 517 ",83,16.1
East," 1,154 "," 1,030 ",124,12.0
West Midlands," 1,124 "," 1,035 ",89,8.6
East Midlands," 891 "," 831 ",60,7.2
Wales," 661 "," 628 ",33,5.3
South East," 1,510 "," 1,468 ",42,2.9
London," 922 "," 902 ",20,2.2
South West," 1,044 "," 1,051 ",-7,-0.7

Source: ,Office for National Statistics - Deaths registered weekly in England and Wales
Notes
1,Based on area of usual residence. Geographic boundaries are based on the most up-to-date information available at the time of publication.
2,Figures exclude deaths of non-residents. 
3,Based on date a death was registered rather than occurred. 
4,All figures for 2020 are provisional. 
5,"The averages are based on the number of death registrations in each region, recorded for each corresponding week over the previous five years. Moveable public holidays, when register offices are closed, affect the number of registrations made in the published weeks and in the corresponding weeks in previous years."
