Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,TotalPositive,CrudeRatePositive,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20211001,S92000003,Female,"",0 to 14,"",44841,10699.126003020694,2,0.4772028279039582,190898,45548.532720604904
20211001,S92000003,Female,"",0 to 59,"",253205,12420.283904816984,270,13.244117036790687,1098154,53866.96333488829
20211001,S92000003,Female,"",15 to 19,"",29313,21254.70405255487,,,74160,53773.03082378021
20211001,S92000003,Female,"",20 to 24,"",29907,17753.913554522627,3,1.7809121832202452,117664,69849.75037547565
20211001,S92000003,Female,"",25 to 44,"",91922,12716.361583921735,37,5.118528519887558,421122,58257.43155005644
20211001,S92000003,Female,"",45 to 64,"",69349,8981.05339497779,382,49.470971418211015,373433,48361.500705803126
20211001,S92000003,Female,"",60+,"",40834,5357.759067476484,3817,500.82201989904837,304253,39920.51402157327
20211001,S92000003,Female,"",65 to 74,"",12285,4017.0163231139477,602,196.8452443235325,108743,35557.37940776395
20211001,S92000003,Female,"",75 to 84,"",9013,4693.537468103942,1203,626.4646149039213,73229,38134.14570640004
20211001,S92000003,Female,"",85plus,"",7409,8988.777676675765,1858,2254.1704579921143,43158,52360.32757051865
20211001,S92000003,Male,"",0 to 14,"",44759,10156.78007447564,1,0.22692151465572602,204743,46460.59167515732
20211001,S92000003,Male,"",0 to 59,"",237643,11772.02272738531,356,17.63502434723165,957531,47432.816006261426
20211001,S92000003,Male,"",15 to 19,"",27404,19003.238400355047,1,0.6934476135000381,63725,44189.94917028993
20211001,S92000003,Male,"",20 to 24,"",30373,17526.052786465247,4,2.3081095428789054,92401,53317.90746788843
20211001,S92000003,Male,"",25 to 44,"",84942,11989.98928633436,57,8.045835856479227,359333,50721.655014320175
20211001,S92000003,Male,"",45 to 64,"",62190,8604.277926893383,557,77.06356014278204,303854,42039.62478209137
20211001,S92000003,Male,"",60+,"",36778,5688.768170864128,4205,650.4233552255058,256363,39653.8603128838
20211001,S92000003,Male,"",65 to 74,"",13008,4638.441871494336,933,332.69267113347286,102979,36720.64156554545
20211001,S92000003,Male,"",75 to 84,"",7927,5303.192485750221,1608,1075.7579812143754,62140,41571.89113971474
20211001,S92000003,Male,"",85plus,"",3818,8320.620668613521,1400,3051.0395327550887,24719,53870.46157869503
20211001,S92000003,Total,d,Total,d,568916,10408.269301134285,8648,158.21441639224295,2624149,48008.58031467252
