Date,CA,CAName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210917,S12000005,Clackmannanshire,29,5323,10378.241372587248,0,100,194.96977968414896,27265,53158.51043088321
20210917,S12000006,Dumfries and Galloway,111,9885,6665.992312360915,0,156,105.19927169734977,64929,43785.15071818734
20210917,S12000008,East Ayrshire,173,12682,10429.276315789473,0,245,201.48026315789477,54403,44739.30921052632
20210917,S12000010,East Lothian,87,9021,8360.518999073216,3,126,116.77479147358665,47798,44298.42446709917
20210917,S12000011,East Renfrewshire,125,11613,12089.319175515304,0,178,185.30085363314595,44947,46790.54757443265
20210917,S12000013,Na h-Eileanan Siar,10,666,2513.2075471698113,0,13,49.056603773584904,9190,34679.24528301887
20210917,S12000014,Falkirk,173,14454,9002.242152466368,1,266,165.6701544593921,75154,46807.42401594419
20210917,S12000017,Highland,137,11854,5035.042263093064,1,116,49.27154568236843,96763,41100.53943847428
20210917,S12000018,Inverclyde,104,8067,10468.466130288087,0,157,203.7373475214119,37345,48462.2372177524
20210917,S12000019,Midlothian,127,9617,10324.208266237252,1,164,176.0601180891036,43613,46820.18250134192
20210917,S12000020,Moray,26,3402,3554.487514366315,0,33,34.47915578309477,36917,38571.72709225786
20210917,S12000021,North Ayrshire,157,13558,10099.068901303539,2,289,215.27001862197392,57627,42925.13966480447
20210917,S12000023,Orkney Islands,2,282,1258.9285714285713,0,8,35.714285714285715,6804,30375.000000000004
20210917,S12000026,Scottish Borders,75,6953,6033.49531412704,1,127,110.20479000347103,47451,41175.80701145436
20210917,S12000027,Shetland Islands,4,620,2710.975076519458,0,11,48.09794490599038,9562,41810.231744643635
20210917,S12000028,South Ayrshire,152,9725,8672.19546994828,1,225,200.64205457463882,50720,45229.17781344747
20210917,S12000029,South Lanarkshire,322,38271,11929.119132223677,0,675,210.39835421731811,150258,46835.608752571534
20210917,S12000030,Stirling,99,7601,8079.294217687075,0,127,134.99149659863946,45681,48555.48469387755
20210917,S12000033,Aberdeen City,169,16401,7160.132716318869,1,254,110.88797694927092,105616,46108.44320265433
20210917,S12000034,Aberdeenshire,272,14574,5588.618759107294,0,198,75.92606794999617,103665,39751.89815169875
20210917,S12000035,Argyll and Bute,98,5283,6184.01030083109,0,75,87.79117406063443,36567,42803.46482500292
20210917,S12000036,City of Edinburgh,402,49462,9374.549865433455,2,657,124.5214358818847,271550,51466.96486107426
20210917,S12000038,Renfrewshire,294,23003,12822.899827192152,0,393,219.07575673114442,86869,48424.661352360774
20210917,S12000039,West Dunbartonshire,155,11100,12565.08942721304,1,183,207.15417704324202,42471,48076.74892460946
20210917,S12000040,West Lothian,207,17989,9786.203895114786,3,270,146.8828201501469,79110,43036.666303993035
20210917,S12000041,Angus,81,8192,7073.044379209117,1,143,123.46744949058885,49387,42641.16732861337
20210917,S12000042,Dundee City,171,17467,11736.99771536084,1,268,180.08332213412177,67581,45411.23504905254
20210917,S12000045,East Dunbartonshire,130,12368,11372.87356321839,0,204,187.58620689655172,51450,47310.34482758621
20210917,S12000047,Fife,410,30760,8221.741106032663,0,414,110.6567235987491,166671,44548.95357228771
20210917,S12000048,Perth and Kinross,108,10578,6963.333552761504,2,245,161.27970508853926,68573,45140.54374300573
20210917,S12000049,Glasgow City,658,84963,13366.52822352275,7,1271,199.9559499087534,304762,47945.6925303631
20210917,S12000050,North Lanarkshire,449,46365,13591.194231107462,2,751,220.1442223134197,157777,46249.92671630416
